Date,Day,Tests,Cases,People.Not.Positive...Total,People.Tested...Age.0.17,People.Tested...Age.18.29,People.Tested...Age.30.39,People.Tested...Age.40.49,People.Tested...Age.50.59,People.Tested...Age.60.69,People.Tested...Age.70.79,People.Tested...Age.80.,People.Tested...Age.Unknown,People.Tested...Female,People.Tested...Male,People.Tested...Gender.Unknown,People.Tested...Latinx,People.Tested...Asian.Non.Latinx,People.Tested...Black.Non.Latinx,People.Tested...White.Non.Latinx,People.Tested...Other.Race.Non.Latinx,People.Tested...Unknown.Race.Ethnicity,People.Positive...Age.0.17,People.Positive...Age.18.29,People.Positive...Age.30.30,People.Positive...Age.40.49,People.Positive...Age.50.59,People.Positive...Age.60.69,People.Positive...Age.70.79,People.Positive...Age.80.,People.Positive...Age.Unknown,People.Positive...Female,People.Positive...Male,People.Positive...Gender.Unknown,People.Positive...Latinx,People.Positive...Asian.Non.Latinx,People.Positive...Black.Non.Latinx,People.Positive...White.Non.Latinx,People.Positive...Other.Race.Non.Latinx,People.Positive...Unknown.Race.Ethnicity,People.Not.Positive...Age.0.17,People.Not.Positive...Age.18.29,People.Not.Positive...Age.30.39,People.Not.Positive...Age.40.49,People.Not.Positive...Age.50.59,People.Not.Positive...Age.60.69,People.Not.Positive...Age.70.79,People.Not.Positive...Age.80.,People.Not.Positive...Age.Unknown,People.Not.Positive...Female,People.Not.Positive...Male,People.Not.Positive...Gender.Unknown,People.Not.Positive...Latinx,People.Not.Positive...Asian.Non.Latinx,People.Not.Positive...Black.Non.Latinx,People.Not.Positive...White.Non.Latinx,People.Not.Positive...Other.Race.Non.Latinx,People.Not.Positive...Unknown.Race.Ethnicity
3/1/2020,Sunday,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
5/2/2020,Saturday,2431.00,705.00,1726.00,129.00,470.00,458.00,458.00,412.00,281.00,128.00,94.00,1.00,1238.00,1158.00,35.00,569.00,39.00,376.00,276.00,73.00,1098.00,24.00,141.00,120.00,152.00,137.00,76.00,39.00,16.00,0.00,340.00,361.00,4.00,343.00,9.00,103.00,51.00,22.00,177.00,105.00,329.00,338.00,306.00,275.00,205.00,89.00,78.00,1.00,898.00,797.00,31.00,226.00,30.00,273.00,225.00,51.00,921.00
5/14/2020,Thursday,4098.00,772.00,3326.00,260.00,805.00,833.00,685.00,604.00,471.00,253.00,171.00,16.00,2049.00,1786.00,263.00,848.00,55.00,581.00,510.00,144.00,1960.00,48.00,167.00,153.00,131.00,107.00,95.00,42.00,29.00,0.00,395.00,362.00,15.00,319.00,12.00,151.00,68.00,35.00,187.00,212.00,638.00,680.00,554.00,497.00,376.00,211.00,142.00,16.00,1654.00,1424.00,248.00,529.00,43.00,430.00,442.00,109.00,1773.00
3/5/2020,Thursday,17.00,1.00,16.00,4.00,2.00,0.00,4.00,3.00,2.00,0.00,2.00,0.00,8.00,9.00,0.00,2.00,0.00,5.00,2.00,1.00,7.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,4.00,2.00,0.00,4.00,2.00,2.00,0.00,2.00,0.00,7.00,9.00,0.00,2.00,0.00,4.00,2.00,1.00,7.00
3/6/2020,Friday,18.00,3.00,15.00,1.00,5.00,1.00,3.00,3.00,2.00,2.00,0.00,1.00,8.00,10.00,0.00,2.00,0.00,1.00,5.00,1.00,9.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,5.00,1.00,1.00,3.00,1.00,2.00,0.00,1.00,8.00,7.00,0.00,2.00,0.00,1.00,2.00,1.00,9.00
3/7/2020,Saturday,13.00,3.00,10.00,2.00,1.00,2.00,5.00,1.00,0.00,2.00,0.00,0.00,11.00,2.00,0.00,1.00,0.00,4.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,2.00,1.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,8.00,2.00,0.00,1.00,0.00,2.00,6.00,0.00,1.00
5/4/2020,Monday,4141.00,1127.00,3014.00,246.00,790.00,858.00,716.00,674.00,487.00,229.00,135.00,6.00,2116.00,1839.00,186.00,924.00,63.00,634.00,472.00,143.00,1905.00,59.00,216.00,223.00,242.00,177.00,114.00,54.00,42.00,0.00,559.00,548.00,20.00,511.00,24.00,175.00,97.00,42.00,278.00,187.00,574.00,635.00,474.00,497.00,373.00,175.00,93.00,6.00,1557.00,1291.00,166.00,413.00,39.00,459.00,375.00,101.00,1627.00
5/13/2020,Wednesday,4283.00,870.00,3413.00,279.00,864.00,840.00,729.00,686.00,449.00,273.00,154.00,9.00,2217.00,1963.00,103.00,967.00,64.00,602.00,531.00,137.00,1982.00,56.00,186.00,166.00,159.00,136.00,95.00,40.00,32.00,0.00,444.00,419.00,7.00,408.00,12.00,119.00,68.00,25.00,238.00,223.00,678.00,674.00,570.00,550.00,354.00,233.00,122.00,9.00,1773.00,1544.00,96.00,559.00,52.00,483.00,463.00,112.00,1744.00
5/20/2020,Wednesday,5292.00,768.00,4524.00,318.00,921.00,890.00,788.00,848.00,765.00,460.00,271.00,31.00,2743.00,2354.00,195.00,1041.00,68.00,767.00,528.00,114.00,2774.00,56.00,207.00,131.00,138.00,106.00,75.00,37.00,16.00,2.00,397.00,360.00,11.00,349.00,4.00,137.00,57.00,23.00,198.00,262.00,714.00,759.00,650.00,742.00,690.00,423.00,255.00,29.00,2346.00,1994.00,184.00,692.00,64.00,630.00,471.00,91.00,2576.00
3/10/2020,Tuesday,73.00,11.00,62.00,27.00,13.00,12.00,5.00,8.00,1.00,5.00,1.00,1.00,38.00,32.00,3.00,9.00,3.00,7.00,23.00,5.00,26.00,1.00,2.00,3.00,2.00,0.00,0.00,2.00,1.00,0.00,8.00,3.00,0.00,0.00,1.00,1.00,7.00,2.00,0.00,26.00,11.00,9.00,3.00,8.00,1.00,3.00,0.00,1.00,30.00,29.00,3.00,9.00,2.00,6.00,16.00,3.00,26.00
